negara,review,rating
Indonesia,"PERBAIKI SISTEM MATCHMAKING, WIN CUMA SEKALI LOSTNYA BERKALI KALI. MANA NGASI TIM GAJELAS BAGIAN NGASIH LAWAN PADA KERAS. CUKUP KIKIR AJA, JANGAN SAMPE GA ADIL JUGA, KITA CAPE NGEPUSH GAADAA HASILNYA. PERBAIKI LAH!!! GAME BURUK BGT GA BIKIN PLAYERNYA HAVE FUN, MALAH MAKIN STRESS.",1
Indonesia,"ini game napa dahh, sering kali jaringan nya ping, dan saat waar lag nya ga ketolong, plis monton tolong di perbaiki",1
Indonesia,yatim dikasih timm pepek,1
Indonesia,"gamenya seru tapi, developer bodoh banget ngasih tim kayak kntl mulu, sampe ls 10x gliran ws cuma 2x paling banyak 3-4 kali, emang dongo ini yang buat game ga mikirin perasaan orang orang",1
Indonesia,"MATCHMAKING NYA KOCAK, DAPET 1 TIM ORANG ORANG ANEH, ADA YANG NGE TROLL ADA YANG BAPERAN, ADA YANG FEEDER, LENGKAP.",1
Indonesia,good,5
Indonesia,"kenapa saat saya main rank selalu di kasi tim yang jadi beban di tim saya , jadi buang waktu, niat nya mau naikin rank malah jadi turun rank nya karna di kasi tim yang ga jelas? serius nanya dan saya harap ada jawaban!?",1
Indonesia,"woyy moonton, benarin lah matchmackingnyaa, masa gw immo ketemu ama honor, gmna sihhhhh",1
Indonesia,Seru,5
Indonesia,suka banget soal nya bagus fps nya 100☺☺,5
Indonesia,Susah dapet tim beban Mulu anjjj,1
Indonesia,awesome,5
Indonesia,pelit bintang dasar kikir eh ku uninstal nanti ya ini eh bodoh menguji kesabaran dasar pelit china pelit sipit dasar aku doain bangkrut kau camkan itu anak biawak burik burik burik pelit pelit kikir kikir kikir kikir anak biawak,1
Indonesia,game byk flayer boot PD GK becus main...trus bayk sinyal tiba2 ngelek . game apa ini,1
Indonesia,sinyal lu benerin update aja di gedein sinyal merah trs setan,1
Indonesia,banyak dark sistem,1
Indonesia,habis ws 5 masa di kasih tim nya langsung bot,1
Indonesia,game yg sangat bagus isinya orng orng ber iq 99999+ mantap apalagi natan ama lukas,1
Indonesia,monton sekarang bak banget terimakasih loh monton karna kasih gua satu batu maaf ya monton kata kata gua semalam maaf yg paling dalam ini sekali lagi makasi monton tercinta,5
Indonesia,gk enak game sial bikin losetreak bikin malas main game lol moton haram,1
Indonesia,solo bot,3
Indonesia,"Ayolah MOONTON perbaiki server game nya lah, lagi main ngelag padahal jaringannya bagus, udah ngelag ga dapet poin protection tambahan lagi. jadi tolong ya MOONTON perbaiki masalah server atau apalah itu yang bikin ngelag biar pas main lancar, biar ga ngelag² lagi di gameplay nya, jadi tolong selesaikan masalah ya MOONTON",1
Indonesia,rem-nya seru,5
Indonesia,"tolong perbaiki lagi, kasih time dan lawan yang seimbang, masa Lawanya jago time nya dongo tolong perbaiki lagi, beri keadilan digeme ini",1
Indonesia,jujur gk ada masalah tapi kemauan gw kasi rating satu aja gitu,1
Indonesia,game bagus tapi susah main nya los trik mulu,5
Indonesia,well played!,1
Indonesia,monton kasih menang lah cape ls terus udah gua kasih bintang 5,5
Indonesia,méh,5
Indonesia,mantull,5
Indonesia,jangan download game ini guys nanti darah kalian naik,1
Indonesia,Game rusak,1
Indonesia,game nya seru,5
Indonesia,gj anying dapet tim gjls,1
Indonesia,"game gak bener, isinya kasar mana tim gua dikasih tim autis Mulu, kesel anj ml jelek",1
Indonesia,mending main game lain aja game nya gak adilll gak jelass setiap main bukan 5 vs 5 tapi 1 vs 9 udahh digendong cape cape main malahh kalahh gak adill banget tim nya lagi gak ngerti itemm udahh di kondisi kalah malahh beli sky apaan dahh kalo lu mau main rank baca dulu pungsi item nya ya ajingg Jagan asall mainn lahh hargain dikitt yang mau naikin bintang lahh gua cape cape udahh ngegendong malahh di trolll apaan hargain lahh yang udahh ngegendong capeee main malahh kalahh game gak adillll,1
Indonesia,game GK jelas. jirr bikin stresss doank GK pernah dah evaluasi dari pembagian timm yg lebih adill kek atau apa kek dah lh mlesas,2
Indonesia,gue gabisa main ml lagi karena ml tidak menagapi,5
Indonesia,seru banget bree,5
Indonesia,ya gitu stres dikit,5
Indonesia,Saya kasih bintang lima karena monoton selalu ngasih tim derak sistem,5
Indonesia,bagus dan bagussss,5
Indonesia,i like ML,5
Indonesia,game aneh giliran dapat tim gg sinyalnya malah jelek pas dapat tim yang beban sinyal nya Bagu ML anehh tololll,1
Indonesia,cuma ke warung bentar di hitung afk💔💔,1
Indonesia,bagusssss,5
Indonesia,game ini saat kita ingin naik rank di persulit dan membuat setres,1
Indonesia,seruu,5
Indonesia,Game yang Mengngesal kan drak sistem mulu gk pernah menang mode serius kawan trol😡😭😮‍💨😮‍💨 hapus aja game gak guna habis sin duit aja,1
Indonesia,game kumpulan orang pengangguran cik 😂🫵,1
Indonesia,ayo lah kalau kasih tim tu yang sepadan sama lawannya masak tim guwe lebih jago dari musuh guwe los treak gak wajar di tambah guwe makek roam,5
Indonesia,bagus,5
Indonesia,seru banget!!tapi gitu banyak tim lawan jago tapi tim sendirinya gajelas ini aku kasih bintang5 dulu tapi montoon tolong ya bantuin masalah yang saya keluhkan,5
Indonesia,"mohon untuk memperbaiki dulu sistem pencarian match karena saya sering bertemu tim atau lawan yang tidak seimbang karena dapat menyebabkan penurunan rank karena teman yang tidak seimbang. maka dari itu perbaiki dulu sistem yang membuat semua player ml stress, sebelum membuat fitur baru.",2
Indonesia,seru banget pokoknya game nya,5
Indonesia,mudah ngelek,4
Indonesia,"seru banget gamenya guys, jadi jangan lupa download dan kasih rating bintang 5 ya",5
Indonesia,"ML ANJINGGGG MA GF JADI NANGIS GARA GARA U, MATCH MAKING BENERIN BANGSATTT SEBELUM GW ANCURIN KANTORNYA",1
Indonesia,mantap,5
Indonesia,dapet tim drak sistem Mulu heran gua kali' tim yng bener gitu,1
Indonesia,I think this game is very good but maybe you should update it a little bit and this is one of my favorite games I really like it,5
Indonesia,banyak yg trol ml ngasi tim gak bisa main ditim musuh musuh nya jago jago di tim sendiri gak bisa main percuma banyak event tapi ditim gak seimbang,1
Indonesia,lose trek,1
Indonesia,apaan sihh moonton mah kaya gitu aku masa lose treak Mulu padahal mau mythic 😭😭😭😭😭,3
Indonesia,agak gak seimbang,2
Indonesia,akhirnya glory,5
Indonesia,"Makasihnya Moonton udh bikin game Mobile Legends makasih ya, maaff bangett klo gua dku ngatain kamu mulu maaff yaa,Eee.... Moonton tolong dong resale skin thamuz nexus sea... 😌",5
Indonesia,"tinggal kan monton sekarang pindah ke game sebelah SMA aja kok ,, monton payah sekarang kadang di kasih tim bagus kadang di kasih tim paling jelek ,, aku main 1 x menang 7x kalah ,, buat kawan2 tinggal kan monton beralih ke game sebelah enak d game sebelah ,, aku jga baru 3 hari main rank udah naik",1
Indonesia,"ketemu tim aneh,gamenya juga aneh,moonton aneh",1
Indonesia,seru,5
Indonesia,monton bisa buat game kasih klh terus,1
Indonesia,pas saya mau naik epik 4 malah kalah abis itu menang abis itu kalah abis itu menang memang salah kita buat naik rank apa sampe digituin itu aku dah 3thn loh masalahnya dah lah cape,1
Indonesia,game apaan ni mau naik rank nya aja ga bisa minimal kasi game yg ngotak la banyak yang drak sistem lagi,1
Indonesia,MATCHMAKING GOSONG MINUS TON MOONTON,1
Indonesia,muuntun bagong,1
Indonesia,bantu balikin akun aku yang di hack orang☹️☹️,1
Indonesia,tolong monton hilangkan lah drak sistem capek los terus monton mohon di hilangkan drak sistem nya 🙏,1
Indonesia,"bagus moonton,saya sangat suka game ini,sampe saya pengen psikolog gara² di kasih ls 5x berturut-turut,padahal saya tidak pernah ws.ya pokoknya seperti itu dh moonton,sangat baik moonton memberikan para playernya ls,SAYA SAMPE GILA MOONTONNNNN!!!!!",5
Indonesia,kenapa mesti 1 bintang naik rank mesti kalah tolong perbaiki lagi moonton dan lawan yang tidak seimbang tim musuh ada ex mitik 20 la timku epik abadi semua,3
Indonesia,apaan anjir wifi buat scroll tiktok dll lancar kalo buat main malah lag padahal wifi full,1
Indonesia,sistem gk jelas dikasih tim gk sesuai sama kemampuan pas di kasih sesuai kemampuan malah jelek karna kita kalah gegara main sama tim jelek jadi kemampuan di anggep jelek padahal tim nya yang jelek gk adil banget kalo kalah musuhnya bikin stress diri bukan buat hiburan,1
Indonesia,dapet tim troll trus cape,1
Indonesia,keren,5
Indonesia,moonton asu,1
Indonesia,game apasih ini banyak ngelegnya,1
Indonesia,gamenya sangat seruuu,5
Indonesia,sya suka geme ini kata saya gaada kekurangan nya ya kekurangan nya itu cuma di player nya aja makasi juga mlbb skin hanabi gratis nya sya juga suka skin nya jadi sya makasi banget buat mlbb☺️,5
Indonesia,di kasih tim tolol terus,1
Indonesia,cuma game ini yg battle g seimbang....kebnykan drac sistem,1
Indonesia,aku agak menykai ml,4
Indonesia,ini sangat cocok untk saya ini buat saya senang☺️☺️🤏🏻🤏🏻,5
Indonesia,Yang buat mlbb moga cepet MATI Monton mending hapus aja game nya dari play store ga guna game jelek kayak yang buat,1
Indonesia,saya kamu kasih kalah mulu mau saya hapus nih game moonton*1 karena game merusak mental,1
Indonesia,game nya jelek dikasih tim draksistem mulu,1
Indonesia,permainan seru juga bisa main offline,5
Indonesia,di kasih tim yang gak bener,1
Indonesia,game banyak bug ga jls gw dikasih dark sistem mulu aneh aneh tolong dibaca ya moonton,1
Indonesia,Wow,5
Indonesia,"entah kenapa setiap main pasti di kasih kalah,gw ada salah ya sama elu? makanya lu kasih aku kalah trus?",1
Indonesia,saya jadi lebih senang bermain ini,5
Indonesia,"game nya bgs , dan aku suka main ini, tapi problem nya pliss kasih lawan jgn yg kemampuan nya lebih tinggi, tapi buat keseruan aku suka bgttt",5
Indonesia,sangat bagus dan menarik,4
Indonesia,mending hapus aj ni game,1
Indonesia,game nya bagus saya menyukainya,5
Indonesia,monton ini bot nya aneh gamau maju di turet Mulu di benerin kek bot nya bikin susah tau ga.,2
Indonesia,game aneh,1
Indonesia,sangat buruk,1
Indonesia,gem yg tidak seibang antara lawan dengan musuh jaringan yg buruk dan banyak musuh yg pakek cit dan perilaku tak normal,3
Indonesia,"game Jelek Wifi udh bgs Masih aja Lag Game Aneh Kikir, Udh Tau Sekarang udh Bulan Puasa Masih Aja Di bikin Lag Trs Gua Aneh lo moonton kikir, 1 kata Buat Moonton LoL Lu Moonton!!! G ush Main ni Game Guys Sekali main Di bikin lag mulu Gua Ama Moontod Ni",1
Indonesia,monton Maruk sayaa mau mitic di kasih tim darks sistem nama saya di ml rillzz aja dasarrr luu bangke monton bikin kesel pemain lu sendiri loll lol,1
Indonesia,"sebenarnya buat fitur di dalam game udah bagus, tapi kenapa kita afk sebentar doang di bilang afk, contoh kita pengen ke toilet trus kita afk sebentar tetapi pas kita main lagi sampai akhir game tulisannya kita afk kayak kita itu afk nya dari awal sampe akhir. jadi aku minta tolong ke moonton yang afk sebentar jangan di tulis akhir game nya kita afk. dah itu aja sih. makasih",4
Indonesia,Dark system,1
Indonesia,"game nya asik, tapi kalo ngasi kawan itu yang bener lah, masa ngasi kawan yang gak bisa main🙏🙄",5
Indonesia,saya kembali lagi ternyata roblox tidak sebaik moonton aku suka moontod,5
Indonesia,"WOE MOONTON,BENERIN DLU TUH SERVER LU ANJ KALO KEK GINI PLAYER JUGA JADI GAMOOD MAEN KOCAK,GAJELAS BENER LU. LAGGG BANGETTT SUMPAH,SELALU PAS MAU NGELUARIN SKIL LAG NYA GA NGOTAK, PENCET SKIL SEKARANG KELUARNYA ABIS LEBARAN....gila",1
Indonesia,kont*l banyak player sampah,1
Indonesia,gak usah main game ini gak sesuai soalnya draft pick nya team nya pokoknya minusbanget lah team dapet yang trol trus,1
Indonesia,baik dan sangat ramah nih Game,5
Indonesia,RAFKA ananda MODESAD,5
Indonesia,ngasih tim yang bener lah kadang mau menang lagi kontes tiba-tiba ngelegg sendiri jaringannya dasar game hamaaa ngasih tim selalu yang troll dapet musuh anak imo sedangkan tim masih honor kan rusak game ini,2
Indonesia,"matchmaking lo makin rusak, ton, wkwkwk... gws deh",1
Indonesia,moonton plis lah kok download data yg gak ingin di download tiba tiba download otomatis mana gak bisa di hapus lagi. Tolong perbaiki ini secepatnya 😤,3
Indonesia,"kacau matchmaking kacau! Tim ga balance, main jadi stres. Moonton, kacau gaadil kasih tim gajelas ga seimbang kacauu",2
Indonesia,game anj aplikasi tidak ada tanggapan trs,1
Indonesia,"tolonglah gk bisa kalian cari akun akun yg merugikan rekan tim nya dipermainan cuma carikan,ban,jgn izinkan main udh itu aj kok payah kali kalian. kalo event yg bagusan kali nya kalian buat msa penyesuaian permainannya buruk kali. mungkin karna banyak orng bodoh yg main tu makanya kalian gk mau ban kan 🤬🤬🤬",2
Indonesia,woi muntun kasih musuh yang bener dong!!!!,1
Indonesia,plis moonton masa gua udh bintang 49 turun ke bintang 40 kasih kawan yang ngotak dikit lah moonton jangan darksistem mu,1
Indonesia,pokokke jozz,5
Indonesia,banyak buggg meresahkan.,4
Indonesia,"percuma ningkatin semua kualitas skin kalau server aja masih suka down, saya main tiba-tiba ping merah terus padahal sinyal aman, jadinya kena afk padahal naikin kredit skor itu sulit. . yang rugi bukan saya saja tim saya juga rugi, idiot",1
Indonesia,tapi kenapa aku stack di loading screen pas login ya kalau mau login harus uninstall baru download lagi kalau keluar stuck di loading screen jadi harus download ulang untuk main,5
Indonesia,AKU Memasukan Akun Fesbuk ku tidak Masuk,3
Indonesia,bagus,5
Indonesia,game nya seru keren badmood auto ilang abis main ml moonton keren banget bikin game sebagus ini🤩👍,5
Indonesia,keren aku suka mobile legend,5
Indonesia,aku suka dengan permainan ini,5
Indonesia,"game babi, match making ga pernah bener",1
Indonesia,"game rusak apa gi mana nih, lagi enak enak main tiab tiba lag padahal jaringan gau bagus tapi ngelag aneh beuut jadi moodain ML hilang hadehhh, tolong di perbaiki tuh mungkin server nya gak mampu nahan banyak player maka nya lag kek nya?",1
Indonesia,sinyal server lu jlek ga rekomen bngt buat maen solo asli bikin stres ls Mulu tanggepin ni ulasan gw klo ga lu berarti ga niat bikin game ye anjg,1
Indonesia,Jaringan ngeleg perbaiki lah monton,1
Indonesia,"sumpah ini game seru banget woyyy, bisa pake Hero apapun pkoknya moonton keren banget malah skin ny banyak lagii",5
Indonesia,"game babi,,,makin lama makin gk jls....mau pake data..apa lagi pake wifi parah sekali..game burik",1
